idEntrada,usuarioOnline, statusSaida ,paginaSaida,avaliacao,dataHoraEntrada,dataHoraSaida,dataHoraErro,tempoAcesso,codigo,erro
72,0,0.4,3,n/ avaliado,2021/05/15,2021/05/15,2021/05/15,539,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
135,0,0.6,2,n/ avaliado,2021/05/16,2021/05/16,2021/05/16,539,500,"""CHAVE PIX INCORRETA"""
307,1,0.8,1,negativa,2021/05/17,2021/05/17,2021/05/17,539,500,"""CLIENTE NAO CADASTRADO"""
336,0,0.6,2,negativa,2021/05/18,2021/05/18,2021/05/18,539,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
359,1,0.8,1,negativa,2021/05/19,2021/05/19,2021/05/19,539,500,"""CHAVE PIX INCORRETA"""
616,0,0.4,3,negativa,2021/05/20,2021/05/20,2021/05/20,539,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
416,1,0.8,1,negativa,2021/05/21,2021/05/21,2021/05/21,539,500,"""ERRO AO EXECUTAR SERVICO: REQUESTCREDITSERVICE"""
439,0,1,0,negativa,2021/05/22,2021/05/22,2021/05/22,539,500,"""CLIENTE NAO CADASTRADO"""
690,1,0.8,1,positiva,2021/05/23,2021/05/23,2021/05/23,539,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
456,0,0.2,4,positiva,2021/05/24,2021/05/24,2021/05/24,539,550,"""CPF -CNPJ CLIENTE NAO CADASTRADO"""
508,0,0.6,2,positiva,2021/05/25,2021/05/25,2021/05/25,539,500,"""CLIENTE NAO CADASTRADO"""
929,1,0.8,1,n/ avaliado,2021/05/26,2021/05/26,2021/05/26,539,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
549,0,0.4,3,negativa,2021/05/27,2021/05/27,2021/05/27,532,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
371,0,0.6,2,negativa,2021/05/28,2021/05/28,2021/05/28,530,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
216,0,0.4,3,n/ avaliado,2021/05/29,2021/05/29,2021/05/29,441,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
746,0,0.6,2,negativa,2021/05/30,2021/05/30,2021/05/30,441,500,"""OPS! NÃO FOI POSSIVEL CONSULTAR O SALDO TENTE NOVAMENTE MAIS TARDE"""
759,0,1,0,negativa,2021/05/31,2021/05/31,2021/05/31,436,500,"""SENHA INCORRETA"""
429,1,0.8,1,positiva,2021/06/01,2021/06/01,2021/06/01,436,500,"""DESCULPE TIVEMOS UM PROBLEMA E NAO CONSEGUIMOS TE ATENDER AGORA"""
